ELBO_task,loglikelihood_task,KL_loss_task,Pred_obs_loss_task,Pred_rew_loss_task,AverageReturn,Epoch,SampleStep
-437169440.0,-437169440.0,3443.102,1329715.5,86.38554,-24.4,4,5050
-17611818.0,-17611818.0,3238.0107,442983.5,5.3324366,0.0,5,6060
-7662896.0,-7662895.5,3152.577,244078.58,5.8354464,22.6,6,7070
-5378120.5,-5378120.0,3109.7805,143234.84,7.9940157,6.8,7,8080
-3743473.25,-3743473.0,3104.9932,118033.88,4.7730684,40.6,8,9090
-2495868.5,-2495868.2,3126.3164,91998.06,3.9305108,14.1,9,10100
-962978.75,-962978.44,3143.1304,82686.76,2.2665358,17.0,10,11110
-720611.25,-720610.94,3163.2224,66184.2,1.7407558,27.1,11,12120
-5300.84912109375,-5300.5317,3171.576,78070.67,0.8078429,31.6,12,13130
-5184.2470703125,-5183.93,3169.5781,76266.42,1.3566886,-5.1,13,14140
-4472.83642578125,-4472.5195,3167.8013,65731.58,1.5024238,5.2,14,15150
-3463.653076171875,-3463.3364,3167.67,50885.36,1.0449364,24.6,15,16160
-3562.92236328125,-3562.6055,3167.949,52400.977,0.7160188,6.8,16,17170
-2800.34814453125,-2800.0312,3169.0208,41150.03,0.5910572,-44.6,17,18180
-2255.627685546875,-2255.3105,3170.6548,33106.246,0.5494128,-81.0,18,19190
-2058.4794921875,-2058.1624,3172.5933,30158.682,0.78011256,-44.6,19,20200
-1539.1165771484375,-1538.7992,3174.399,22440.45,1.0712047,-44.6,20,21210
-1202.62646484375,-1202.3088,3176.5723,17526.46,0.67397225,-81.0,21,22220
-853.9677124023438,-853.6494,3182.7222,12324.044,1.0115708,16.4,22,23230
-587.935546875,-587.6169,3186.9058,8501.97,0.27139434,61.4,23,24240
-517.1115112304688,-516.7921,3194.1387,7330.7534,1.1142634,65.5,24,25250
-442.56036376953125,-442.2404,3199.728,6182.381,1.4298575,64.6,25,26260
-369.37261962890625,-369.05203,3205.7832,5216.25,0.6486006,38.2,26,27270
-321.724853515625,-321.40356,3212.8984,4530.537,0.5238079,94.5,27,28280
-282.82550048828125,-282.5037,3218.037,3986.5728,0.3146997,82.8,28,29290
-263.48980712890625,-263.16757,3222.254,3676.123,0.48182905,-44.6,29,30300
-285.80767822265625,-285.48495,3227.3335,4025.07,0.35232767,-44.6,30,31310
-267.294921875,-266.97195,3229.5723,3770.9375,0.22068244,-26.4,31,32320
-225.4541473388672,-225.13084,3232.9834,3132.4614,0.35698724,-26.4,32,33330
-224.14686584472656,-223.82288,3239.8281,3086.4604,0.5374666,-44.6,33,34340
-181.90293884277344,-181.57855,3243.8599,2471.6218,0.4735052,-81.0,34,35350
-179.2888641357422,-178.964,3248.5234,2421.7683,0.5493969,-81.0,35,36360
-153.10003662109375,-152.77457,3254.6982,2087.0078,0.19569689,-81.0,36,37370
-158.55186462402344,-158.22568,3261.8076,2150.4216,0.31170282,-81.0,37,38380
-149.5001678466797,-149.17328,3268.833,2025.1266,0.25430265,-81.0,38,39390
