[0, 11, 0, 1, 20] [0.0, 11.0, 1.0, 0.0, 20.0] 0 -1
[0, 12, 0, 1, 20] [0.0, 12.0, 1.0, 1.0, 20.0] 0 -1
[0, 13, 0, 1, 20] [0.0, 13.0, 1.0, 1.0, 20.0] 0 -1
[0, 14, 0, 1, 20] [0.0, 14.0, 1.0, 1.0, 20.0] 0 -1
[0, 15, 0, 1, 20] [0.0, 15.0, 1.0, 1.0, 20.0] 0 -1
[0, 16, 0, 1, 20] [0.0, 16.0, 1.0, 1.0, 20.0] 0 -1
[0, 17, 0, 1, 20] [0.0, 17.0, 1.0, 1.0, 20.0] 0 -1
[0, 18, 0, 1, 20] [0.0, 18.0, 1.0, 1.0, 20.0] 0 -1
[0, 19, 0, 1, 20] [0.0, 19.0, 1.0, 1.0, 20.0] 0 -1
[0, 20, 0, 1, 20] [0.0, 20.0, 1.0, 1.0, 20.0] 0 -1
[0, 21, 0, 1, 20] [0.0, 21.0, 1.0, 1.0, 20.0] 0 -1
[0, 22, 0, 1, 20] [0.0, 22.0, 1.0, 1.0, 20.0] 0 -1
[0, 23, 0, 1, 20] [0.0, 23.0, 1.0, 1.0, 20.0] 0 -1
[0, 24, 0, 1, 20] [0.0, 24.0, 1.0, 1.0, 20.0] 0 -1
[0, 25, 0, 1, 20] [0.0, 25.0, 1.0, 1.0, 20.0] 0 -1
[0, 26, 0, 0, 20] [0.0, 26.0, 1.0, 1.0, 20.0] 0 -1
[0, 25, 0, -1, 20] [0.0, 27.0, 1.0, 0.0, 20.0] 0 -1
[0, 24, 0, -1, 20] [0.0, 26.0, 1.0, -1.0, 20.0] 0 -1
[0, 23, 0, -1, 20] [0.0, 25.0, 1.0, -1.0, 20.0] 0 -1
[0, 22, 0, -1, 20] [0.0, 24.0, 1.0, -1.0, 20.0] 0 -1
[0, 21, 0, -1, 20] [0.0, 23.0, 1.0, -1.0, 20.0] 0 -1
[0, 20, 0, -1, 20] [0.0, 22.0, 1.0, -1.0, 20.0] 0 -1
[0, 19, 0, -1, 20] [0.0, 21.0, 1.0, -1.0, 20.0] 0 -1
[0, 18, 0, -1, 20] [0.0, 20.0, 1.0, -1.0, 20.0] 0 -1
[0, 17, 0, -1, 20] [0.0, 19.0, 1.0, -1.0, 20.0] 0 -1
